AGNO;RBD;DGV_RBD;NOM_RBD;LET_RBD;NUM_RBD;COD_REG_RBD;COD_COM_RBD;NOM_COM_RBD;COD_DEPE;RURAL_RBD;COD_ENSE;APR_HOM_01;APR_HOM_02;APR_HOM_03;APR_HOM_04;APR_HOM_05;APR_HOM_06;APR_HOM_07;APR_HOM_08;APR_HOM_TO;APR_MUJ_01;APR_MUJ_02;APR_MUJ_03;APR_MUJ_04;APR_MUJ_05;APR_MUJ_06;APR_MUJ_07;APR_MUJ_08;APR_MUJ_TO;REP_HOM_01;REP_HOM_02;REP_HOM_03;REP_HOM_04;REP_HOM_05;REP_HOM_06;REP_HOM_07;REP_HOM_08;REP_HOM_TO;REP_MUJ_01;REP_MUJ_02;REP_MUJ_03;REP_MUJ_04;REP_MUJ_05;REP_MUJ_06;REP_MUJ_07;REP_MUJ_08;REP_MUJ_TO;RET_HOM_01;RET_HOM_02;RET_HOM_03;RET_HOM_04;RET_HOM_05;RET_HOM_06;RET_HOM_07;RET_HOM_08;RET_HOM_TO;RET_MUJ_01;RET_MUJ_02;RET_MUJ_03;RET_MUJ_04;RET_MUJ_05;RET_MUJ_06;RET_MUJ_07;RET_MUJ_08;RET_MUJ_TO;TRA_HOM_01;TRA_HOM_02;TRA_HOM_03;TRA_HOM_04;TRA_HOM_05;TRA_HOM_06;TRA_HOM_07;TRA_HOM_08;TRA_HOM_TO;TRA_MUJ_01;TRA_MUJ_02;TRA_MUJ_03;TRA_MUJ_04;TRA_MUJ_05;TRA_MUJ_06;TRA_MUJ_07;TRA_MUJ_08;TRA_MUJ_TO
2009;1;9;LICEO POLITECNICO ARICA;A;2;15;15101;ARICA;2;0;463;0;0;4;0;0;0;0;0;4;0;0;9;0;0;0;0;0;9;0;0;1;0;0;0;0;0;1;0;0;4;0;0;0;0;0;4;0;0;4;0;0;0;0;0;4;0;0;4;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2009;1;9;LICEO POLITECNICO ARICA;A;2;15;15101;ARICA;2;0;510;211;201;208;180;0;0;0;0;800;85;97;18;23;0;0;0;0;223;12;7;8;4;0;0;0;0;31;4;6;0;3;0;0;0;0;13;27;32;8;15;0;0;0;0;82;16;17;3;3;0;0;0;0;39;15;8;5;0;0;0;0;0;28;2;1;0;0;0;0;0;0;3
2009;1;9;LICEO POLITECNICO ARICA;A;2;15;15101;ARICA;2;0;561;0;0;0;19;0;0;0;0;19;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;16;0;0;0;0;16;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2009;1;9;LICEO POLITECNICO ARICA;A;2;15;15101;ARICA;2;0;563;14;0;28;0;0;0;0;0;42;15;0;1;0;0;0;0;0;16;6;0;9;0;0;0;0;0;15;0;0;0;0;0;0;0;0;0;21;0;26;0;0;0;0;0;47;17;0;1;0;0;0;0;0;18;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2009;1;9;LICEO POLITECNICO ARICA;A;2;15;15101;ARICA;2;0;610;0;0;7;7;0;0;0;0;14;0;0;84;81;0;0;0;0;165;0;0;2;0;0;0;0;0;2;0;0;3;0;0;0;0;0;3;0;0;2;1;0;0;0;0;3;0;0;8;3;0;0;0;0;11;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1
2009;1;9;LICEO POLITECNICO ARICA;A;2;15;15101;ARICA;2;0;661;0;0;0;6;0;0;0;0;6;0;0;0;60;0;0;0;0;60;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;1;0;0;0;0;1;0;0;0;4;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2009;1;9;LICEO POLITECNICO ARICA;A;2;15;15101;ARICA;2;0;663;0;0;3;0;0;0;0;0;3;0;0;81;0;0;0;0;0;81;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;3;0;0;36;0;0;0;0;0;36;0;0;1;0;0;0;0;0;1;0;0;1;0;0;0;0;0;1
2009;3;5;ESC. PEDRO VICENTE GUTIERREZ TORRES;E;93;15;15101;ARICA;2;0;163;0;90;139;125;0;0;0;0;354;0;88;33;21;0;0;0;0;142;0;1;2;7;0;0;0;0;10;0;1;0;1;0;0;0;0;2;0;2;3;6;0;0;0;0;11;0;14;1;3;0;0;0;0;18;0;0;0;1;0;0;0;0;1;0;0;1;0;0;0;0;0;1
2009;4;3;LICEO OCTAVIO PALMA PEREZ;A;1;15;15101;ARICA;2;0;310;152;164;134;166;0;0;0;0;616;164;192;198;200;0;0;0;0;754;2;1;2;1;0;0;0;0;6;3;1;1;0;0;0;0;0;5;0;1;2;0;0;0;0;0;3;0;0;1;0;0;0;0;0;1;3;5;1;0;0;0;0;0;9;2;1;2;0;0;0;0;0;5
2009;5;1;JOVINA NARANJO FERNANDEZ;A;5;15;15101;ARICA;2;0;110;10;4;14;11;13;18;12;17;99;7;8;13;9;5;8;12;13;75;2;1;0;2;1;2;3;0;11;1;0;1;0;0;0;1;0;3;0;0;0;1;1;0;2;1;5;1;0;0;0;0;0;0;1;2;0;1;0;0;0;2;4;2;9;3;0;0;0;1;1;0;0;5
