RBD;DGV_RBD;NOM_RBD;LET_RBD;NUM_RBD;COD_REG_RBD;COD_COM_RBD;NOM_COM_RBD;COD_DEPE;RURAL_RBD;COD_ENSE;APR_HOM_01;APR_HOM_02;APR_HOM_03;APR_HOM_04;APR_HOM_05;APR_HOM_06;APR_HOM_07;APR_HOM_08;APR_HOM_TO;APR_MUJ_01;APR_MUJ_02;APR_MUJ_03;APR_MUJ_04;APR_MUJ_05;APR_MUJ_06;APR_MUJ_07;APR_MUJ_08;APR_MUJ_TO;REP_HOM_01;REP_HOM_02;REP_HOM_03;REP_HOM_04;REP_HOM_05;REP_HOM_06;REP_HOM_07;REP_HOM_08;REP_HOM_TO;REP_MUJ_01;REP_MUJ_02;REP_MUJ_03;REP_MUJ_04;REP_MUJ_05;REP_MUJ_06;REP_MUJ_07;REP_MUJ_08;REP_MUJ_TO;RET_HOM_01;RET_HOM_02;RET_HOM_03;RET_HOM_04;RET_HOM_05;RET_HOM_06;RET_HOM_07;RET_HOM_08;RET_HOM_TO;RET_MUJ_01;RET_MUJ_02;RET_MUJ_03;RET_MUJ_04;RET_MUJ_05;RET_MUJ_06;RET_MUJ_07;RET_MUJ_08;RET_MUJ_TO;TRA_HOM_01;TRA_HOM_02;TRA_HOM_03;TRA_HOM_04;TRA_HOM_05;TRA_HOM_06;TRA_HOM_07;TRA_HOM_08;TRA_HOM_TO;TRA_MUJ_01;TRA_MUJ_02;TRA_MUJ_03;TRA_MUJ_04;TRA_MUJ_05;TRA_MUJ_06;TRA_MUJ_07;TRA_MUJ_08;TRA_MUJ_TO;AGNO
7;8;LICEO POLITEC. ANTONIO VARAS DE LA BARRA;B;4;1;1201;ARICA;2;0;610;51;11;44;24;0;0;0;0;130;46;20;58;30;0;0;0;0;154;11;2;2;1;0;0;0;0;16;4;5;0;1;0;0;0;0;10;8;1;6;1;0;0;0;0;16;6;1;3;0;0;0;0;0;10;2;0;3;0;0;0;0;0;5;2;0;2;0;0;0;0;0;4;2006
8;6;COLEGIO INT. EDUARDO FREI MONTALVA;D;2;1;1201;ARICA;2;0;110;34;35;38;34;49;41;58;81;370;31;34;28;28;47;62;40;56;326;2;0;1;0;12;6;2;3;26;0;1;0;0;1;0;2;3;7;1;1;1;2;1;0;2;3;11;0;0;1;2;1;0;3;2;9;1;2;0;2;1;3;4;3;16;0;1;0;5;2;0;0;4;12;2006
8;6;COLEGIO INT. EDUARDO FREI MONTALVA;D;2;1;1201;ARICA;2;0;310;119;90;95;80;0;0;0;0;384;81;100;71;57;0;0;0;0;309;27;10;16;7;0;0;0;0;60;25;8;14;2;0;0;0;0;49;5;3;4;4;0;0;0;0;16;13;5;8;2;0;0;0;0;28;2;1;4;3;0;0;0;0;10;3;2;2;2;0;0;0;0;9;2006
9;4;ESCUELA REPUBLICA DE ISRAEL;D;4;1;1201;ARICA;2;0;110;89;98;116;85;114;103;104;110;819;66;86;84;83;85;81;99;92;676;0;2;0;1;3;3;1;0;10;0;1;0;0;3;0;1;0;5;1;0;1;0;1;1;0;0;4;0;1;0;0;1;1;0;1;4;5;2;2;1;3;2;2;0;17;3;0;1;3;1;1;2;0;11;2006
10;8;ESCUELA  REPUBLICA DE FRANCIA;D;6;1;1201;ARICA;2;0;110;0;0;0;0;0;0;0;0;0;37;63;97;74;66;68;82;83;570;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;4;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;3;4;0;0;0;0;0;0;0;0;0;4;2;2;1;1;0;3;3;16;2006
10;8;ESCUELA  REPUBLICA DE FRANCIA;D;6;1;1201;ARICA;2;0;310;0;0;0;0;0;0;0;0;0;24;0;0;0;0;0;0;0;24;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;2006
11;6;ESCUELA GRAL. PEDRO LAGOS MARCHANT;D;7;1;1201;ARICA;2;0;110;8;20;12;10;20;17;21;12;120;15;13;16;9;24;11;15;15;118;1;1;3;0;1;0;0;0;6;3;1;2;2;0;0;0;0;8;3;1;1;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;1;1;1;2;0;0;0;5;1;1;1;1;1;1;1;1;8;2006
12;4;ESCUELA GRAL. JOSE MIGUEL CARRERA;D;10;1;1201;ARICA;2;0;110;34;30;28;36;29;33;53;46;289;23;34;31;27;39;33;40;42;269;0;1;0;2;0;4;4;1;12;0;0;0;1;0;0;3;0;4;1;1;1;0;0;1;1;1;6;0;0;0;0;0;0;1;2;3;3;3;1;2;0;2;3;0;14;4;0;0;1;2;0;1;1;9;2006
13;2;ESCUELA  MANUEL RODRIGUEZ ERDOYZA;D;11;1;1201;ARICA;2;0;110;21;22;18;24;19;21;29;35;189;18;14;24;18;19;23;30;20;166;1;1;0;0;0;0;1;1;4;0;0;0;0;0;0;1;0;1;1;0;0;0;0;0;1;0;2;1;0;0;0;0;0;1;0;2;6;1;2;2;0;0;0;0;11;0;1;3;0;0;0;0;0;4;2006
14;0;ESCUELA ROMULO J. PEÑA MATURANA;D;12;1;1201;ARICA;2;0;110;18;17;18;17;23;17;16;19;145;16;11;15;10;18;13;12;23;118;0;0;1;1;2;0;1;0;5;0;1;0;0;0;0;1;0;2;1;0;0;0;1;1;0;1;4;0;0;1;1;0;2;1;0;5;0;0;0;1;0;2;1;0;4;1;0;0;0;0;0;0;0;1;2006
