RBD;DGV_RBD;NOM_RBD;LET_RBD;NUM_RBD;COD_REG_RBD;COD_COM_RBD;NOM_COM_RBD;COD_DEPE;RURAL_RBD;COD_ENSE;APR_HOM_01;APR_HOM_02;APR_HOM_03;APR_HOM_04;APR_HOM_05;APR_HOM_06;APR_HOM_07;APR_HOM_08;APR_HOM_TO;APR_MUJ_01;APR_MUJ_02;APR_MUJ_03;APR_MUJ_04;APR_MUJ_05;APR_MUJ_06;APR_MUJ_07;APR_MUJ_08;APR_MUJ_TO;REP_HOM_01;REP_HOM_02;REP_HOM_03;REP_HOM_04;REP_HOM_05;REP_HOM_06;REP_HOM_07;REP_HOM_08;REP_HOM_TO;REP_MUJ_01;REP_MUJ_02;REP_MUJ_03;REP_MUJ_04;REP_MUJ_05;REP_MUJ_06;REP_MUJ_07;REP_MUJ_08;REP_MUJ_TO;RET_HOM_01;RET_HOM_02;RET_HOM_03;RET_HOM_04;RET_HOM_05;RET_HOM_06;RET_HOM_07;RET_HOM_08;RET_HOM_TO;RET_MUJ_01;RET_MUJ_02;RET_MUJ_03;RET_MUJ_04;RET_MUJ_05;RET_MUJ_06;RET_MUJ_07;RET_MUJ_08;RET_MUJ_TO;TRA_HOM_01;TRA_HOM_02;TRA_HOM_03;TRA_HOM_04;TRA_HOM_05;TRA_HOM_06;TRA_HOM_07;TRA_HOM_08;TRA_HOM_TO;TRA_MUJ_01;TRA_MUJ_02;TRA_MUJ_03;TRA_MUJ_04;TRA_MUJ_05;TRA_MUJ_06;TRA_MUJ_07;TRA_MUJ_08;TRA_MUJ_TO;AGNO
1722;1;"ESCUELA"" DR. ALDO FRANCIA BOIDO""";F;365;5;5109;VINA DEL MAR;1;0;110;0;0;0;0;0;0;0;0;0;15;9;24;17;21;34;33;29;182;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;0;3;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;1;0;1;0;1;0;0;4;2006
1724;8;ESC. PDTE. EDO. FREI MONTALVA;F;369;5;5109;VINA DEL MAR;1;0;110;18;27;27;10;24;25;9;27;167;20;13;11;13;25;19;19;19;139;3;5;3;2;2;4;4;1;24;2;1;1;0;3;2;1;1;11;0;0;0;2;1;3;1;3;10;1;1;0;1;0;0;0;4;7;1;1;3;2;2;0;2;3;14;1;0;1;0;2;0;1;1;6;2006
1728;0;ESCUELA BASICA LUISA NIETO DE HAMEL;G;326;5;5109;VINA DEL MAR;1;0;110;4;2;9;3;6;5;6;9;44;6;5;5;5;6;4;2;4;37;0;1;0;0;0;1;0;0;2;0;0;0;0;1;1;0;0;2;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;2006
1729;9;ESCUELA BASICA  ARCHI;G;330;5;5109;VINA DEL MAR;1;0;110;8;8;10;6;4;15;10;12;73;5;12;10;9;7;7;4;11;65;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;1;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;2;0;0;1;0;0;1;0;1;3;2006
1730;2;COLEGIO CLAUDIO ARRAU L.;G;344;5;5109;VINA DEL MAR;1;0;110;2;10;5;3;12;9;6;11;58;0;6;4;6;4;7;8;5;40;0;1;0;0;0;0;0;1;2;1;0;1;0;1;0;0;0;3;0;1;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;1;0;0;0;3;2006
1732;9;ESCUELA BASICA VIOLETA PARRA;G;354;5;5109;VINA DEL MAR;1;0;110;4;11;10;10;15;19;13;13;95;11;13;11;7;10;7;16;12;87;0;0;0;0;1;1;1;0;3;0;1;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;1;3;0;1;0;2;0;0;0;1;4;2006
1734;5;COLEGIO RUBEN CASTRO DIURNO; ;0;5;5109;VINA DEL MAR;3;0;110;80;80;81;76;79;74;71;71;612;0;0;0;0;0;0;0;0;0;0;0;0;1;4;7;15;10;37;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;2;3;2;9;0;0;0;0;0;0;0;0;0;2006
1734;5;COLEGIO RUBEN CASTRO DIURNO; ;0;5;5109;VINA DEL MAR;3;0;310;75;70;61;56;0;0;0;0;262;0;0;0;0;0;0;0;0;0;3;4;6;0;0;0;0;0;13;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0;0;3;0;0;0;0;0;0;0;0;0;4;1;1;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;2006
1735;3;LICEO PARROQUIAL SAN ANTONIO; ;0;5;5109;VINA DEL MAR;3;0;310;66;76;72;74;0;0;0;0;288;58;50;60;44;0;0;0;0;212;9;2;1;1;0;0;0;0;13;2;4;2;0;0;0;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2006
1738;8;LICEO NUESTRA SEÑORA DE LA PAZ; ;0;5;5109;VINA DEL MAR;3;0;110;0;0;0;0;0;0;0;0;0;71;66;78;71;78;80;82;71;597;0;0;0;0;0;0;0;0;0;3;0;1;2;0;3;2;5;16;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;1;4;3;2;2;0;1;3;16;2006
1738;8;LICEO NUESTRA SEÑORA DE LA PAZ; ;0;5;5109;VINA DEL MAR;3;0;310;0;0;0;0;0;0;0;0;0;74;72;57;56;0;0;0;0;259;0;0;0;0;0;0;0;0;0;9;5;6;4;0;0;0;0;24;0;0;0;0;0;0;0;0;0;1;1;2;2;0;0;0;0;6;0;0;0;0;0;0;0;0;0;2;0;3;4;0;0;0;0;9;2006
1739;6;ESC. DE TRIPULANTES Y PORTUARIA VALPO.; ;0;5;5101;VALPARAISO;3;0;310;116;120;0;0;0;0;0;0;236;0;0;0;0;0;0;0;0;0;11;2;0;0;0;0;0;0;13;0;0;0;0;0;0;0;0;0;8;7;0;0;0;0;0;0;15;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2006
1739;6;ESC. DE TRIPULANTES Y PORTUARIA VALPO.; ;0;5;5101;VALPARAISO;3;0;410;0;0;30;29;0;0;0;0;59;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;2006
1739;6;ESC. DE TRIPULANTES Y PORTUARIA VALPO.; ;0;5;5101;VALPARAISO;3;0;810;0;0;82;78;0;0;0;0;160;0;0;0;0;0;0;0;0;0;0;0;7;0;0;0;0;0;7;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;2006
1741;8;LICEO TERESA DE LOS ANDES; ;0;5;5109;VINA DEL MAR;3;0;110;25;20;21;31;40;26;35;34;232;17;22;33;39;40;33;31;38;253;0;0;0;1;0;0;1;1;3;0;0;0;0;0;1;2;0;3;0;0;0;0;0;1;0;1;2;0;0;1;0;0;0;0;0;1;1;1;0;4;0;1;0;0;7;0;0;1;1;1;0;1;0;4;2006
1741;8;LICEO TERESA DE LOS ANDES; ;0;5;5109;VINA DEL MAR;3;0;310;21;23;12;18;0;0;0;0;74;24;22;25;22;0;0;0;0;93;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2006
1742;6;COLEGIO SAN  AGUSTIN; ;0;5;5109;VINA DEL MAR;3;0;110;25;23;29;27;23;28;23;21;199;12;15;14;15;20;17;19;14;126;1;1;0;1;1;1;3;5;13;1;0;0;0;1;0;2;3;7;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;2;3;0;1;0;0;0;1;7;0;0;0;0;0;0;1;2;3;2006
1742;6;COLEGIO SAN  AGUSTIN; ;0;5;5109;VINA DEL MAR;3;0;310;20;16;22;19;0;0;0;0;77;17;26;11;20;0;0;0;0;74;5;2;4;0;0;0;0;0;11;3;0;4;0;0;0;0;0;7;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;2;2006
1743;4;COLEGIO PARROQUIAL MARIA GORETTI; ;0;5;5103;CONCON;3;0;110;31;30;37;28;37;33;36;27;259;41;39;27;46;33;44;42;34;306;0;0;0;0;0;0;6;6;12;1;0;0;0;0;0;6;5;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;2;0;0;0;1;0;0;1;4;0;1;0;1;0;0;2;0;4;2006
1743;4;COLEGIO PARROQUIAL MARIA GORETTI; ;0;5;5103;CONCON;3;0;310;30;26;27;22;0;0;0;0;105;41;38;31;37;0;0;0;0;147;2;3;6;2;0;0;0;0;13;0;2;0;1;0;0;0;0;3;0;0;0;1;0;0;0;0;1;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;0;0;3;2006
1747;7;LICEO JOSE CORTES BROWN; ;0;5;5109;VINA DEL MAR;3;0;310;47;42;38;44;0;0;0;0;171;68;75;71;73;0;0;0;0;287;1;1;6;0;0;0;0;0;8;1;0;3;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2006
1748;5;COLEGIO MARIA REINA; ;0;5;5109;VINA DEL MAR;3;0;110;43;50;46;44;40;41;40;29;333;54;52;54;48;42;50;41;48;389;6;5;2;0;3;0;5;1;22;2;0;1;0;1;0;1;0;5;4;2;0;0;1;0;0;0;7;0;0;1;0;0;0;0;0;1;1;0;0;1;0;0;0;0;2;0;1;1;1;0;0;0;0;3;2006
1749;3;COL.EXCELENTISIMO SR.CARDENAL RAUL SILVA; ;0;5;5109;VINA DEL MAR;3;0;110;19;17;15;19;23;25;24;22;164;9;15;3;9;14;15;12;11;88;1;0;1;1;1;0;0;3;7;0;0;0;0;2;0;0;1;3;0;1;1;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;2;0;0;1;0;0;0;0;0;1;2006
1749;3;COL.EXCELENTISIMO SR.CARDENAL RAUL SILVA; ;0;5;5109;VINA DEL MAR;3;0;310;23;29;26;24;0;0;0;0;102;33;20;21;27;0;0;0;0;101;12;12;5;0;0;0;0;0;29;6;4;2;0;0;0;0;0;12;1;1;2;1;0;0;0;0;5;0;1;2;0;0;0;0;0;3;1;0;3;1;0;0;0;0;5;2;1;0;0;0;0;0;0;3;2006
1750;7;COLEGIO INMACULADA DE LOURDES; ;0;5;5109;VINA DEL MAR;3;0;110;15;21;24;17;20;17;21;19;154;20;17;20;27;24;20;21;17;166;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;2006
1750;7;COLEGIO INMACULADA DE LOURDES; ;0;5;5109;VINA DEL MAR;3;0;310;9;16;16;14;0;0;0;0;55;33;23;24;23;0;0;0;0;103;0;0;1;0;0;0;0;0;1;1;1;1;0;0;0;0;0;3;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;1;2006
1751;5;ESC. PART. HUGO ERRAZURIZ; ;24;5;5109;VINA DEL MAR;3;0;110;43;40;52;45;38;44;46;46;354;36;48;34;42;41;42;35;41;319;0;0;0;0;3;2;1;1;7;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;2;0;0;0;0;2;0;0;1;3;0;0;0;1;0;0;1;0;2;2006
1752;3;ESC. PART. SANTA FILOMENA; ;29;5;5109;VINA DEL MAR;3;0;110;0;0;0;0;0;0;0;0;0;30;26;27;29;37;38;33;36;256;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0;1;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;0;1;4;0;0;0;0;0;0;0;0;0;3;4;1;3;0;0;0;0;11;2006
1753;1;COLEGIO JERUSALEN; ;32;5;5109;VINA DEL MAR;3;0;110;8;3;9;6;10;8;11;13;68;17;7;7;14;15;9;10;12;91;0;0;0;0;1;2;4;3;10;0;0;0;0;0;0;3;1;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;3;2006
1755;8;COLEGIO ANA MARIA JANER; ;0;5;5109;VINA DEL MAR;3;0;110;45;38;44;41;38;47;51;33;337;70;68;76;80;72;81;78;75;600;0;0;1;0;0;0;0;0;1;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;1;0;0;0;1;0;0;0;0;1;2;2;0;1;1;0;1;2;9;2;4;3;2;2;0;3;1;17;2006
1755;8;COLEGIO ANA MARIA JANER; ;0;5;5109;VINA DEL MAR;3;0;310;16;18;11;16;0;0;0;0;61;28;26;31;30;0;0;0;0;115;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;2;1;0;0;0;0;0;0;0;1;2006
1755;8;COLEGIO ANA MARIA JANER; ;0;5;5109;VINA DEL MAR;3;0;410;0;0;0;0;0;0;0;0;0;67;66;56;40;0;0;0;0;229;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;1;1;0;0;0;0;0;4;2006
1756;6;COLEGIO CLAUDIO MATTE; ;0;5;5109;VINA DEL MAR;3;0;110;35;26;29;22;27;22;38;25;224;24;42;23;21;17;11;22;12;172;0;1;0;1;4;1;2;2;11;0;1;0;0;1;1;2;2;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;1;0;1;0;2;0;7;0;2;0;1;1;0;0;0;4;2006
1756;6;COLEGIO CLAUDIO MATTE; ;0;5;5109;VINA DEL MAR;3;0;310;28;20;28;7;0;0;0;0;83;30;12;30;10;0;0;0;0;82;3;2;0;0;0;0;0;0;5;3;4;0;0;0;0;0;0;7;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0;0;0;3;1;0;1;0;0;0;0;0;2;2006
1757;4;COLEGIO ACONCAGUA; ;0;5;5106;QUILPUE;3;0;110;67;66;60;69;75;68;50;75;530;83;63;60;92;71;61;79;70;579;0;5;3;4;6;1;3;5;27;1;0;0;0;8;1;1;2;13;0;0;0;0;1;0;0;0;1;0;0;1;0;0;2;1;0;4;0;1;2;3;2;2;1;1;12;6;2;2;3;1;2;1;4;21;2006
1757;4;COLEGIO ACONCAGUA; ;0;5;5106;QUILPUE;3;0;310;87;83;78;60;0;0;0;0;308;97;97;84;71;0;0;0;0;349;10;7;7;0;0;0;0;0;24;5;6;5;0;0;0;0;0;16;0;1;1;1;0;0;0;0;3;5;4;2;0;0;0;0;0;11;4;3;2;2;0;0;0;0;11;7;5;5;0;0;0;0;0;17;2006
1759;0;COLEGIO SAN LUIS; ;310;5;5109;VINA DEL MAR;3;0;110;4;9;11;16;10;6;10;7;73;7;5;4;9;8;8;5;6;52;0;0;0;0;0;1;0;0;1;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;0;1;0;0;0;0;4;2;0;0;0;0;0;0;0;2;2006
1761;2;FRIENDLY HIGH SCHOOL; ;0;5;5109;VINA DEL MAR;3;0;110;4;7;14;11;11;14;10;15;86;16;7;14;8;9;15;8;11;88;0;0;1;0;0;0;1;0;2;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;1;1;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;1;0;0;3;0;1;0;1;0;0;1;1;4;2006
1761;2;FRIENDLY HIGH SCHOOL; ;0;5;5109;VINA DEL MAR;3;0;310;7;18;13;10;0;0;0;0;48;20;14;16;18;0;0;0;0;68;4;2;4;0;0;0;0;0;10;1;1;1;0;0;0;0;0;3;2;1;2;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;3;1;0;3;1;0;0;0;0;5;2006
1765;5;ESCUELA N. 364 ILUSION; ;364;5;5109;VINA DEL MAR;3;0;110;13;16;22;13;20;17;15;23;139;14;11;13;21;8;14;12;9;102;0;1;1;2;1;2;0;0;7;0;1;0;1;0;1;0;0;3;1;0;0;0;0;0;1;0;2;0;0;0;0;0;0;0;0;0;1;0;0;4;1;0;0;1;7;0;0;1;1;1;0;0;0;3;2006
1767;1;CHILDREN'S SCHOOL; ;423;5;5109;VINA DEL MAR;3;0;110;18;19;8;15;9;20;13;5;107;13;14;11;10;19;8;15;16;106;0;1;0;1;1;3;1;1;8;0;2;1;1;1;0;0;0;5;3;0;0;0;0;4;0;0;7;1;0;0;0;0;1;0;0;2;0;2;2;1;0;1;0;0;6;0;0;1;0;0;2;1;0;4;2006
1769;8;COLEGIO RAYEN CAVEN; ;0;5;5103;CONCON;3;0;110;15;12;9;10;21;18;13;15;113;18;18;16;12;12;19;14;23;132;0;0;0;0;0;2;0;0;2;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;2006
1769;8;COLEGIO RAYEN CAVEN; ;0;5;5103;CONCON;3;0;310;16;9;8;6;0;0;0;0;39;12;13;10;15;0;0;0;0;50;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2006
1772;8;COLEGIO BLANCA VERGARA; ;384;5;5109;VINA DEL MAR;3;0;110;31;30;34;39;34;41;28;39;276;34;32;29;29;26;29;33;35;247;4;0;1;0;2;1;4;0;12;3;1;1;1;2;2;0;1;11;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;1;0;1;2;0;0;5;2;0;1;0;1;0;0;1;5;2006
1774;4;SEMINARIO SAN RAFAEL; ;0;5;5109;VINA DEL MAR;4;0;110;26;24;25;26;22;24;24;23;194;24;23;23;17;30;24;32;28;201;0;0;0;0;0;0;1;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;0;1;0;0;0;0;0;1;0;1;2;2006
1774;4;SEMINARIO SAN RAFAEL; ;0;5;5109;VINA DEL MAR;4;0;310;26;27;32;26;0;0;0;0;111;21;33;24;31;0;0;0;0;109;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;1;1;0;0;0;0;0;0;2;0;1;1;0;0;0;0;0;2;2006
1775;2;COLEGIO ARABE; ;0;5;5109;VINA DEL MAR;4;0;110;2;1;0;1;5;2;4;3;18;0;0;1;1;1;2;1;0;6;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2006
1775;2;COLEGIO ARABE; ;0;5;5109;VINA DEL MAR;4;0;310;4;5;2;7;0;0;0;0;18;3;1;4;4;0;0;0;0;12;2;2;0;0;0;0;0;0;4;0;0;0;1;0;0;0;0;1;0;2;0;1;0;0;0;0;3;1;1;1;1;0;0;0;0;4;0;1;0;0;0;0;0;0;1;1;2;0;0;0;0;0;0;3;2006
1776;0;SAINT PETER'S SCHOOL; ;0;5;5109;VINA DEL MAR;4;0;110;10;15;10;12;17;12;10;10;96;16;12;8;9;8;7;13;6;79;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;1;0;0;0;0;0;0;1;2;2006
1776;0;SAINT PETER'S SCHOOL; ;0;5;5109;VINA DEL MAR;4;0;310;13;12;12;13;0;0;0;0;50;14;10;13;13;0;0;0;0;50;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;2;2006
1777;9;COLEGIO SAINT DOMINIC; ;0;5;5109;VINA DEL MAR;4;0;110;23;28;33;30;28;35;32;39;248;23;36;28;30;46;38;45;41;287;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;2;0;1;0;0;0;0;0;1;2;0;0;1;0;0;3;0;0;4;1;0;3;2;0;1;0;0;7;2006
1777;9;COLEGIO SAINT DOMINIC; ;0;5;5109;VINA DEL MAR;4;0;310;30;54;37;37;0;0;0;0;158;53;47;42;38;0;0;0;0;180;1;1;0;0;0;0;0;0;2;0;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;2;2;1;1;0;0;0;0;6;2006
1778;7;COLEGIO WINTERHILL; ;0;5;5109;VINA DEL MAR;4;0;110;11;12;9;8;13;15;14;9;91;10;5;9;11;13;6;11;12;77;0;0;0;0;0;0;0;3;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2006
1778;7;COLEGIO WINTERHILL; ;0;5;5109;VINA DEL MAR;4;0;310;11;23;18;23;0;0;0;0;75;21;16;14;8;0;0;0;0;59;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;2006
1780;9;COLEGIO PATMOS; ;0;5;5109;VINA DEL MAR;4;0;110;12;11;7;8;9;19;13;12;91;5;8;6;9;2;3;12;10;55;0;0;0;0;0;0;1;2;3;0;0;0;0;0;0;0;0;0;0;0;0;2;0;1;0;0;3;0;0;1;0;0;0;0;0;1;1;0;0;0;1;0;0;1;3;0;0;0;0;0;0;1;0;1;2006
1780;9;COLEGIO PATMOS; ;0;5;5109;VINA DEL MAR;4;0;310;14;19;23;20;0;0;0;0;76;14;16;11;12;0;0;0;0;53;3;1;3;1;0;0;0;0;8;0;0;0;0;0;0;0;0;0;1;1;0;1;0;0;0;0;3;2;0;0;1;0;0;0;0;3;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;2006
1781;7;ALLIANCE FRANCAISE DE VALPARAISO; ;0;5;5109;VINA DEL MAR;4;0;110;28;25;23;37;35;32;27;19;226;36;27;28;28;23;22;28;24;216;0;1;1;1;0;1;3;3;10;0;0;1;0;0;0;1;1;3;0;0;0;0;1;0;1;0;2;1;0;0;0;1;0;0;0;2;0;1;0;1;0;0;0;0;2;0;0;0;0;0;0;1;3;4;2006
1781;7;ALLIANCE FRANCAISE DE VALPARAISO; ;0;5;5109;VINA DEL MAR;4;0;310;18;28;23;25;0;0;0;0;94;27;28;20;27;0;0;0;0;102;1;0;2;0;0;0;0;0;3;1;0;1;0;0;0;0;0;2;0;1;0;1;0;0;0;0;2;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;2006
1783;3;COLEGIO BRITANICO ST. MARGARET'S S.A.; ;0;5;5103;CONCON;4;0;110;0;0;0;0;0;0;0;0;0;48;54;76;70;64;75;70;60;517;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;1;1;2;2;0;1;7;2006
1783;3;COLEGIO BRITANICO ST. MARGARET'S S.A.; ;0;5;5103;CONCON;4;0;310;0;0;0;0;0;0;0;0;0;64;61;62;59;0;0;0;0;246;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;2;1;1;0;0;0;0;0;4;2006
1786;8;COLEGIO INGLES SAN PATRICIO; ;0;5;5109;VINA DEL MAR;4;0;110;9;10;13;10;16;13;8;14;93;5;7;11;12;7;11;9;16;78;1;0;0;0;1;1;5;0;8;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;2006
1786;8;COLEGIO INGLES SAN PATRICIO; ;0;5;5109;VINA DEL MAR;4;0;310;11;16;20;31;0;0;0;0;78;11;15;14;29;0;0;0;0;69;0;1;3;1;0;0;0;0;5;1;0;1;2;0;0;0;0;4;4;0;1;0;0;0;0;0;5;0;0;2;1;0;0;0;0;3;0;2;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0;1;2006
1787;6;HEBREO DR. JAIM WEITZMAN; ;0;5;5109;VINA DEL MAR;4;0;110;6;11;12;11;8;6;12;11;77;7;8;5;9;8;5;9;9;60;0;0;0;0;0;1;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;1;1;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;2006
1787;6;HEBREO DR. JAIM WEITZMAN; ;0;5;5109;VINA DEL MAR;4;0;310;6;9;8;7;0;0;0;0;30;10;6;14;12;0;0;0;0;42;2;0;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2006
1788;4;THE MACKAY SCHOOL; ;0;5;5109;VINA DEL MAR;4;0;110;88;81;76;88;72;73;70;74;622;0;0;0;0;0;0;0;0;0;1;1;3;2;0;0;0;1;8;0;0;0;0;0;0;0;0;0;2;0;1;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;1;1;4;0;0;0;0;0;0;0;0;0;2006
1788;4;THE MACKAY SCHOOL; ;0;5;5109;VINA DEL MAR;4;0;310;70;79;82;65;0;0;0;0;296;0;0;0;0;0;0;0;0;0;1;2;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;2;0;0;0;0;3;0;0;0;0;0;0;0;0;0;2006
1789;2;COLEGIO PROFESOR HUGUET; ;0;5;5109;VINA DEL MAR;4;0;110;7;3;5;5;8;9;13;12;62;4;2;2;6;8;5;11;7;45;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;2;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;1;0;0;0;0;0;1;2006
