AGNO;RBD;DV_RBD;NOM_RBD;COD_REG_RBD;COD_COM_RBD;NOM_COM_RBD;COD_DEPE;RURAL_RBD;COD_ENSE;APR_HOM_01;APR_HOM_02;APR_HOM_03;APR_HOM_04;APR_HOM_05;APR_HOM_06;APR_HOM_07;APR_HOM_08;APR_HOM_TO;APR_MUJ_01;APR_MUJ_02;APR_MUJ_03;APR_MUJ_04;APR_MUJ_05;APR_MUJ_06;APR_MUJ_07;APR_MUJ_08;APR_MUJ_TO;REP_HOM_01;REP_HOM_02;REP_HOM_03;REP_HOM_04;REP_HOM_05;REP_HOM_06;REP_HOM_07;REP_HOM_08;REP_HOM_TO;REP_MUJ_01;REP_MUJ_02;REP_MUJ_03;REP_MUJ_04;REP_MUJ_05;REP_MUJ_06;REP_MUJ_07;REP_MUJ_08;REP_MUJ_TO;RET_HOM_01;RET_HOM_02;RET_HOM_03;RET_HOM_04;RET_HOM_05;RET_HOM_06;RET_HOM_07;RET_HOM_08;RET_HOM_TO;RET_MUJ_01;RET_MUJ_02;RET_MUJ_03;RET_MUJ_04;RET_MUJ_05;RET_MUJ_06;RET_MUJ_07;RET_MUJ_08;RET_MUJ_TO;TRA_HOM_01;TRA_HOM_02;TRA_HOM_03;TRA_HOM_04;TRA_HOM_05;TRA_HOM_06;TRA_HOM_07;TRA_HOM_08;TRA_HOM_TO;TRA_MUJ_01;TRA_MUJ_02;TRA_MUJ_03;TRA_MUJ_04;TRA_MUJ_05;TRA_MUJ_06;TRA_MUJ_07;TRA_MUJ_08;TRA_MUJ_TO;SI_HOM_01;SI_HOM_02;SI_HOM_03;SI_HOM_04;SI_HOM_05;SI_HOM_06;SI_HOM_07;SI_HOM_08;SI_HOM_TO;SI_MUJ_01;SI_MUJ_02;SI_MUJ_03;SI_MUJ_04;SI_MUJ_05;SI_MUJ_06;SI_MUJ_07;SI_MUJ_08;SI_MUJ_TO
2012;25225;5;ESCUELA BASICA RAYITO DE LUZ DE QUILICURA;13;13125;QUILICURA;3;0;110;41;40;29;36;24;26;24;26;246;40;42;26;34;25;17;15;24;223;3;4;5;3;3;1;1;1;21;1;2;4;0;0;0;5;0;12;0;1;1;0;0;1;0;0;3;1;1;1;0;1;0;1;0;5;6;1;2;1;2;1;0;0;13;3;3;1;0;1;1;1;1;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2012;25230;1;ESC.BAS.Y ESP.INTEGRAL STA. ROSA DE CHENA.;13;13604;PADRE HURTADO;3;0;110;16;14;19;14;0;0;0;0;63;11;16;8;14;0;0;0;0;49;2;2;1;1;0;0;0;0;6;3;2;0;1;0;0;0;0;6;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;4;1;0;1;0;0;0;0;6;4;3;4;2;0;0;0;0;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2012;25235;2;LICEO DE ADULTOS POETA VICENTE HUIDOBRO;13;13125;QUILICURA;2;0;165;3;11;15;0;0;0;0;0;29;3;8;20;0;0;0;0;0;31;0;2;0;0;0;0;0;0;2;1;2;1;0;0;0;0;0;4;5;9;6;0;0;0;0;0;20;6;8;15;0;0;0;0;0;29;2;2;0;0;0;0;0;0;4;1;4;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2012;25235;2;LICEO DE ADULTOS POETA VICENTE HUIDOBRO;13;13125;QUILICURA;2;0;363;21;0;28;0;0;0;0;0;49;32;0;65;0;0;0;0;0;97;16;0;8;0;0;0;0;0;24;11;0;10;0;0;0;0;0;21;46;0;26;0;0;0;0;0;72;40;0;27;0;0;0;0;0;67;8;0;14;0;0;0;0;0;22;14;0;16;0;0;0;0;0;30;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2012;25237;9;COLEGIO DE ADULTOS GLADYS LAZO;13;13101;SANTIAGO;3;0;167;0;5;20;0;0;0;0;0;25;0;2;20;0;0;0;0;0;22;0;3;13;0;0;0;0;0;16;0;1;3;0;0;0;0;0;4;0;3;2;0;0;0;0;0;5;0;1;0;0;0;0;0;0;1;0;0;5;0;0;0;0;0;5;0;3;4;0;0;0;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2012;25237;9;COLEGIO DE ADULTOS GLADYS LAZO;13;13101;SANTIAGO;3;0;363;69;0;90;0;0;0;0;0;159;51;0;84;0;0;0;0;0;135;15;0;3;0;0;0;0;0;18;7;0;3;0;0;0;0;0;10;19;0;16;0;0;0;0;0;35;9;0;10;0;0;0;0;0;19;24;0;16;0;0;0;0;0;40;9;0;11;0;0;0;0;0;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2012;25238;7;COLEGIO CENTRO EDUCACIONAL ALTAIR;13;13604;PADRE HURTADO;3;0;110;26;29;25;17;25;35;19;22;198;22;28;21;37;30;22;27;9;196;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;2;0;3;1;1;0;1;0;8;1;1;3;0;1;1;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2012;25238;7;COLEGIO CENTRO EDUCACIONAL ALTAIR;13;13604;PADRE HURTADO;3;0;310;20;6;10;7;0;0;0;0;43;18;19;8;8;0;0;0;0;53;1;0;0;1;0;0;0;0;2;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;1;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;1;2;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2012;25241;7;COLEGIO SAINT JAMES SCHOOL;13;13402;BUIN;4;0;110;11;18;13;16;9;14;12;11;104;9;7;13;13;10;14;11;7;84;0;0;0;0;0;0;1;0;1;0;1;0;0;0;0;0;1;2;1;0;0;0;1;0;0;0;2;0;0;1;0;0;0;0;1;2;1;3;5;0;0;1;0;0;10;3;0;0;0;1;0;2;3;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2012;25241;7;COLEGIO SAINT JAMES SCHOOL;13;13402;BUIN;4;0;310;13;12;17;17;0;0;0;0;59;12;21;17;10;0;0;0;0;60;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;2;0;0;0;0;3;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
